solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;non_opt_models
Clas;p;0;qsat_asp_3_10_10282_0.85_0.30_9.lparse.bz2;125;0.004;0;0;0.0;0.0;8736;0;0;0;12514
Clas;p;0;qsat_asp_3_10_10785_0.45_0.35_6.lparse.bz2;288;0.006;0;0;0.0;0.0;8656;0;0;0;288
Clas;p;0;qsat_asp_3_10_11305_0.95_0.30_5.lparse.bz2;738;0.007;0;0;0.0;0.0;8720;0;0;0;738
Clas;p;0;qsat_asp_3_10_12711_0.45_0.35_7.lparse.bz2;54;0.003;0;0;0.0;0.0;8688;0;0;0;548
Clas;p;0;qsat_asp_3_10_13609_0.45_0.15_5.lparse.bz2;26362;0.062;0;0;0.06;0.0;8288;0;0;0;26362
Clas;p;0;qsat_asp_3_10_13798_0.65_0.15_4.lparse.bz2;116;0.003;0;0;0.0;0.0;8688;0;0;0;116
Clas;p;0;qsat_asp_3_10_16095_0.65_0.35_5.lparse.bz2;18;0.003;0;0;0.0;0.0;8736;0;0;0;1812
Clas;p;0;qsat_asp_3_10_16448_0.45_0.15_1.lparse.bz2;153;0.005;0;0;0.0;0.0;8672;0;0;0;15345
Clas;p;0;qsat_asp_3_10_16596_0.85_0.15_4.lparse.bz2;17564;0.063;0;0;0.05;0.01;8768;0;0;0;17564
Clas;p;0;qsat_asp_3_10_16956_0.45_0.30_5.lparse.bz2;2023;0.017;0;0;0.01;0.0;8768;0;0;0;2023
Clas;p;0;qsat_asp_3_10_17626_0.85_0.15_6.lparse.bz2;1368;0.017;0;0;0.02;0.0;8704;0;0;0;1368
Clas;p;0;qsat_asp_3_10_18150_0.45_0.35_10.lparse.bz2;14;0.002;0;0;0.0;0.0;8656;0;0;0;1414
Clas;p;0;qsat_asp_3_10_18690_0.85_0.15_5.lparse.bz2;2280;0.015;0;0;0.01;0.0;8688;0;0;0;228017
Clas;p;0;qsat_asp_3_10_19472_0.85_0.15_1.lparse.bz2;228;0.005;0;0;0.0;0.0;8720;0;0;0;22819
Clas;p;0;qsat_asp_3_10_20788_0.45_0.15_9.lparse.bz2;2112;0.02;0;0;0.02;0.0;8624;0;0;0;2112
Clas;p;0;qsat_asp_3_10_21645_0.45_0.15_10.lparse.bz2;4800;0.024;0;0;0.02;0.0;8624;0;0;0;4800
Clas;p;0;qsat_asp_3_10_2167_0.45_0.30_9.lparse.bz2;1070;0.01;0;0;0.01;0.0;8640;0;0;0;1070
Clas;p;0;qsat_asp_3_10_23449_0.65_0.30_2.lparse.bz2;350;0.007;0;0;0.0;0.0;8720;0;0;0;350
Clas;p;0;qsat_asp_3_10_23525_0.85_0.30_2.lparse.bz2;180;0.006;0;0;0.01;0.0;8752;0;0;0;180
Clas;p;0;qsat_asp_3_10_24022_0.45_0.35_2.lparse.bz2;4;0.002;0;0;0.0;0.0;8640;0;0;0;4
Clas;p;0;qsat_asp_3_10_24481_0.45_0.15_6.lparse.bz2;624;0.008;0;0;0.01;0.0;8672;0;0;0;624
Clas;p;0;qsat_asp_3_10_24960_0.85_0.15_2.lparse.bz2;252;0.001;0;0;0.0;0.0;8736;0;0;0;252
Clas;p;0;qsat_asp_3_10_2514_0.85_0.15_8.lparse.bz2;291;0.006;0;0;0.0;0.0;8880;0;0;0;29115
Clas;p;0;qsat_asp_3_10_25290_0.65_0.15_8.lparse.bz2;1392;0.016;0;0;0.0;0.01;8656;0;0;0;139219
Clas;p;0;qsat_asp_3_10_25852_0.95_0.15_7.lparse.bz2;1680;0.014;0;0;0.01;0.0;8864;0;0;0;1680710
Clas;p;0;qsat_asp_3_10_27445_0.85_0.30_3.lparse.bz2;142;0.005;0;0;0.0;0.0;8720;0;0;0;14251
Clas;p;0;qsat_asp_3_10_28156_0.45_0.15_2.lparse.bz2;11730;0.035;0;0;0.03;0.0;8752;0;0;0;11730
Clas;p;0;qsat_asp_3_10_28862_0.45_0.30_2.lparse.bz2;96;0.003;0;0;0.0;0.0;8640;0;0;0;9613
Clas;p;0;qsat_asp_3_10_31492_0.95_0.15_9.lparse.bz2;3;0.003;0;0;0.0;0.0;8800;0;0;0;317
Clas;p;0;qsat_asp_3_10_31757_0.45_0.15_3.lparse.bz2;1136;0.012;0;0;0.01;0.0;8608;0;0;0;1136
Clas;p;0;qsat_asp_3_10_32312_0.45_0.15_4.lparse.bz2;39018;0.101;0;0;0.09;0.0;8752;0;0;0;39018
Clas;p;0;qsat_asp_3_10_3282_0.95_0.15_3.lparse.bz2;530;0.007;0;0;0.01;0.0;8736;0;0;0;53010
Clas;p;0;qsat_asp_3_10_4618_0.85_0.15_10.lparse.bz2;2856;0.013;0;0;0.01;0.0;8832;0;0;0;2856
Clas;p;0;qsat_asp_3_10_4719_0.45_0.30_1.lparse.bz2;1419;0.015;0;0;0.01;0.0;8640;0;0;0;1419
Clas;p;0;qsat_asp_3_10_6301_0.65_0.15_9.lparse.bz2;328;0.006;0;0;0.0;0.0;8672;0;0;0;328
Clas;p;0;qsat_asp_3_10_6382_0.65_0.15_7.lparse.bz2;846;0.007;0;0;0.01;0.0;8784;0;0;0;846
Clas;p;0;qsat_asp_3_10_673_0.95_0.15_4.lparse.bz2;15;0.003;0;0;0.0;0.0;8784;0;0;0;1513
Clas;p;0;qsat_asp_3_10_6774_0.95_0.15_10.lparse.bz2;3641;0.023;0;0;0.02;0.0;8848;0;0;0;3641
Clas;p;0;qsat_asp_3_10_687_0.85_0.15_7.lparse.bz2;96;0.004;0;0;0.0;0.0;8896;0;0;0;96
Clas;p;0;qsat_asp_3_10_7201_0.95_0.15_1.lparse.bz2;12;0.003;0;0;0.0;0.0;8768;0;0;0;12
Clas;p;0;qsat_asp_3_10_7930_0.45_0.30_3.lparse.bz2;36;0.003;0;0;0.0;0.0;8656;0;0;0;3638
Clas;p;0;qsat_asp_3_10_8329_0.45_0.15_7.lparse.bz2;72;0.002;0;0;0.0;0.0;8608;0;0;0;723
Clas;p;0;qsat_asp_3_10_8719_0.65_0.15_10.lparse.bz2;80;0.003;0;0;0.0;0.0;8688;0;0;0;809
Clas;p;0;qsat_asp_3_10_9443_0.65_0.15_2.lparse.bz2;13482;0.027;0;0;0.03;0.0;8304;0;0;0;13482
Clas;p;0;qsat_asp_3_15_12982_0.45_0.35_1.lparse.bz2;306;0.006;0;0;0.0;0.0;8816;0;0;0;30614
Clas;p;0;qsat_asp_3_15_14305_0.45_0.30_10.lparse.bz2;23582;0.097;0;0;0.08;0.01;8768;0;0;0;23582
Clas;p;0;qsat_asp_3_15_15727_0.45_0.15_7.lparse.bz2;354960;1.238;0;0;1.1;0.14;8752;0;0;0;3549606
Clas;p;0;qsat_asp_3_15_16687_0.65_0.30_2.lparse.bz2;13923;0.061;0;0;0.06;0.0;8832;0;0;0;1392320
Clas;p;0;qsat_asp_3_15_17066_0.95_0.15_6.lparse.bz2;720;0.015;0;0;0.01;0.0;8912;0;0;0;72096
Clas;p;0;qsat_asp_3_15_18278_0.45_0.15_6.lparse.bz2;50840;0.265;0;0;0.24;0.02;8816;0;0;0;5084013
Clas;p;0;qsat_asp_3_15_18393_0.65_0.35_8.lparse.bz2;5016;0.024;0;0;0.01;0.01;8944;0;0;0;501610
Clas;p;0;qsat_asp_3_15_1947_0.45_0.15_9.lparse.bz2;2272512;6.671;0;0;5.99;0.67;8704;0;0;0;22725124
Clas;p;0;qsat_asp_3_15_20200_0.95_0.15_9.lparse.bz2;1296;0.013;0;0;0.0;0.0;9008;0;0;0;129619
Clas;p;0;qsat_asp_3_15_20242_0.45_0.15_5.lparse.bz2;255780;0.271;0;0;0.27;0.0;8256;0;0;0;255780
Clas;p;0;qsat_asp_3_15_2068_0.45_0.15_8.lparse.bz2;1574340;5.202;0;0;4.7;0.5;8720;0;0;0;1574340640
Clas;p;0;qsat_asp_3_15_20719_0.45_0.15_3.lparse.bz2;228096;0.688;0;0;0.6;0.08;8768;0;0;0;228096
