solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;non_opt_models
Clas;p;0;3col.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2;0.001;0;0;0.0;0.0;8624;0;0;0;3
Clas;p;0;3col.lp_a1210993_20150717_0403_subgraph_tram.gml.lparse.undirected.bz2;2;0.003;0;0;0.0;0.0;8640;0;0;0;3
Clas;p;0;3col.lp_agence-mtropolitaine-de-transport_20151217_1355_subgraph_train+metro+tram.gml.lparse.undirected.bz2;8;0.006;0;0;0.0;0.0;9136;0;1;0;9
Clas;p;0;3col.lp_agence-mtropolitaine-de-transport_20151217_1355_subgraph_train+metro.gml.lparse.undirected.bz2;8;0.006;0;0;0.0;0.0;8880;0;1;0;9
Clas;p;0;3col.lp_agence-mtropolitaine-de-transport_20151217_1355_subgraph_train.gml.lparse.undirected.bz2;8;0.002;0;0;0.0;0.0;8880;0;1;0;9
Clas;p;0;3col.lp_bart-archiver_20140109_0110_subgraph_metro+tram.gml.lparse.undirected.bz2;48;0.005;0;0;0.0;0.0;8848;0;2;0;49
Clas;p;0;3col.lp_bart-archiver_20140109_0110_subgraph_metro.gml.lparse.undirected.bz2;48;0.005;0;0;0.0;0.0;8832;0;2;0;49
Clas;p;0;3col.lp_bart-archiver_20140109_0110_subgraph_train+metro+tram.gml.lparse.undirected.bz2;48;0.005;0;0;0.01;0.0;8848;0;2;0;49
Clas;p;0;3col.lp_bart-archiver_20140109_0110_subgraph_train+metro.gml.lparse.undirected.bz2;48;0.005;0;0;0.0;0.0;8848;0;2;0;49
Clas;p;0;3col.lp_bay-area-rapid-transit_20151217_1022_subgraph_metro+tram.gml.lparse.undirected.bz2;432;0.009;0;0;0.01;0.0;9088;0;3;0;433
Clas;p;0;3col.lp_bay-area-rapid-transit_20151217_1022_subgraph_metro.gml.lparse.undirected.bz2;432;0.009;0;0;0.0;0.0;9056;0;3;0;433
Clas;p;0;3col.lp_bay-area-rapid-transit_20151217_1022_subgraph_train+metro+tram.gml.lparse.undirected.bz2;432;0.009;0;0;0.0;0.0;9088;0;3;0;433
Clas;p;0;3col.lp_bay-area-rapid-transit_20151217_1022_subgraph_train+metro.gml.lparse.undirected.bz2;432;0.009;0;0;0.0;0.0;9104;0;3;0;433
Clas;p;0;3col.lp_bkv-zrt_20120422_0314_subgraph_metro.gml.lparse.undirected.bz2;2;0.004;0;0;0.0;0.0;8752;0;0;0;3
Clas;p;0;3col.lp_bkv-zrt_20120422_0314_subgraph_train+metro.gml.lparse.undirected.bz2;12800;0.069;0;0;0.07;0.0;9744;0;4;0;12801
Clas;p;0;3col.lp_bkv-zrt_20120422_0314_subgraph_train.gml.lparse.undirected.bz2;6400;0.031;0;0;0.03;0.0;8976;0;4;0;6401
Clas;p;0;3col.lp_capital-metro_20141218_0131_subgraph_train+metro+tram.gml.lparse.undirected.bz2;2;0.001;0;0;0.0;0.0;8320;0;0;0;3
Clas;p;0;3col.lp_capital-metro_20141218_0131_subgraph_train+metro.gml.lparse.undirected.bz2;2;0.001;0;0;0.0;0.0;8320;0;0;0;3
Clas;p;0;3col.lp_capital-metro_20141218_0131_subgraph_train.gml.lparse.undirected.bz2;2;0.001;0;0;0.0;0.0;8304;0;0;0;3
Clas;p;0;3col.lp_cebu-jeepney-routing_20130730_0359_subgraph_metro+tram.gml.lparse.undirected.bz2;88;0.005;0;0;0.01;0.0;8992;0;1;0;89
Clas;p;0;3col.lp_cebu-jeepney-routing_20130730_0359_subgraph_metro.gml.lparse.undirected.bz2;88;0.005;0;0;0.0;0.0;8976;0;1;0;89
Clas;p;0;3col.lp_cebu-jeepney-routing_20130730_0359_subgraph_train+metro+tram.gml.lparse.undirected.bz2;88;0.005;0;0;0.0;0.0;8976;0;1;0;89
Clas;p;0;3col.lp_cebu-jeepney-routing_20130730_0359_subgraph_train+metro.gml.lparse.undirected.bz2;88;0.005;0;0;0.0;0.0;8976;0;1;0;89
Clas;p;0;3col.lp_connectoos.com_20150906_0927_subgraph_metro+tram.gml.lparse.undirected.bz2;2;0.001;0;0;0.0;0.0;8272;0;0;0;3
Clas;p;0;3col.lp_connectoos.com_20150906_0927_subgraph_metro.gml.lparse.undirected.bz2;2;0.001;0;0;0.0;0.0;8272;0;0;0;3
Clas;p;0;3col.lp_csehattila87_20151216_1417_subgraph_metro+tram.gml.lparse.undirected.bz2;8;0.005;0;0;0.0;0.0;8704;0;0;0;9
Clas;p;0;3col.lp_csehattila87_20151216_1417_subgraph_train+metro+tram.gml.lparse.undirected.bz2;8;0.005;0;0;0.0;0.0;8704;0;0;0;9
Clas;p;0;3col.lp_csehattila87_20151216_1417_subgraph_tram.gml.lparse.undirected.bz2;8;0.005;0;0;0.0;0.0;8704;0;0;0;9
Clas;p;0;3col.lp_dallas-area-rapid-transit_20151216_1427_subgraph_metro+tram.gml.lparse.undirected.bz2;4;0.006;0;0;0.0;0.0;8832;0;0;0;5
Clas;p;0;3col.lp_dallas-area-rapid-transit_20151216_1427_subgraph_train+metro+tram.gml.lparse.undirected.bz2;32;0.007;0;0;0.01;0.0;9248;0;1;0;33
Clas;p;0;3col.lp_dallas-area-rapid-transit_20151216_1427_subgraph_train+metro.gml.lparse.undirected.bz2;2;0.001;0;0;0.0;0.0;8336;0;0;0;3
