solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;non_opt_models
Clas;p;0;domset.lp_A00.lparse.undirected.bz2;74978913;300;0;0;300;0.0;11472;0;112;1;74978914+
Clas;p;0;domset.lp_B01.lparse.undirected.bz2;2;0.002;0;0;0.0;0.0;8640;0;5;0;2
Clas;p;0;domset.lp_B98.lparse.undirected.bz2;3008;0.02;0;0;0.02;0.0;9328;0;43;0;3009
Clas;p;0;domset.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;12;0.002;0;0;0.0;0.0;8720;0;10;0;13
Clas;p;0;domset.lp_a1210993_20150717_0403_subgraph_train+metro+tram.gml.lparse.undirected.bz2;1290240;3.966;0;0;3.96;0.0;9232;0;37;0;1290241
Clas;p;0;domset.lp_a1210993_20150717_0403_subgraph_train+metro.gml.lparse.undirected.bz2;107520;0.287;0;0;0.28;0.0;9120;0;27;0;107521
Clas;p;0;domset.lp_a1210993_20150717_0403_subgraph_train.gml.lparse.undirected.bz2;107520;0.259;0;0;0.26;0.0;9120;0;27;0;107521
Clas;p;0;domset.lp_a1210993_20150717_0403_subgraph_tram.gml.lparse.undirected.bz2;12;0.002;0;0;0.0;0.0;8704;0;10;0;13
Clas;p;0;domset.lp_agence-mtropolitaine-de-transport_20151217_1355_subgraph_train+metro+tram.gml.lparse.undirected.bz2;610;0.009;0;0;0.0;0.0;8864;0;21;0;611
Clas;p;0;domset.lp_agence-mtropolitaine-de-transport_20151217_1355_subgraph_train+metro.gml.lparse.undirected.bz2;610;0.009;0;0;0.01;0.0;8864;0;21;0;611
Clas;p;0;domset.lp_agence-mtropolitaine-de-transport_20151217_1355_subgraph_train.gml.lparse.undirected.bz2;610;0.009;0;0;0.0;0.0;8864;0;21;0;611
Clas;p;0;domset.lp_auckland-transport_20140910_0129_subgraph_train+metro+tram.gml.lparse.undirected.bz2;26;0.003;0;0;0.0;0.0;8816;0;14;0;27
Clas;p;0;domset.lp_auckland-transport_20140910_0129_subgraph_train+metro.gml.lparse.undirected.bz2;26;0.003;0;0;0.0;0.0;8816;0;14;0;27
Clas;p;0;domset.lp_auckland-transport_20140910_0129_subgraph_train.gml.lparse.undirected.bz2;26;0.003;0;0;0.0;0.0;8816;0;14;0;27
Clas;p;0;domset.lp_bart-archiver_20140109_0110_subgraph_metro+tram.gml.lparse.undirected.bz2;384;0.006;0;0;0.0;0.0;8864;0;15;0;385
Clas;p;0;domset.lp_bart-archiver_20140109_0110_subgraph_metro.gml.lparse.undirected.bz2;384;0.006;0;0;0.01;0.0;8832;0;15;0;385
Clas;p;0;domset.lp_bart-archiver_20140109_0110_subgraph_train+metro+tram.gml.lparse.undirected.bz2;384;0.006;0;0;0.01;0.0;8848;0;15;0;385
