solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;non_opt_models
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp1.lparse.undirected.bz2;2;0.024;0;0;0.02;0.0;9664;0;20;0;2296
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp10.lparse.undirected.bz2;2;0.02;0;0;0.01;0.0;9584;0;24;0;2152
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp2.lparse.undirected.bz2;2;0.021;0;0;0.02;0.0;9616;0;22;0;2155
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp3.lparse.undirected.bz2;2;0.024;0;0;0.02;0.0;9632;0;15;0;2346
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp4.lparse.undirected.bz2;2;0.016;0;0;0.01;0.0;9584;0;22;0;2197
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp5.lparse.undirected.bz2;2;0.014;0;0;0.01;0.0;9600;0;21;0;2149
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp6.lparse.undirected.bz2;2;0.01;0;0;0.01;0.0;9584;0;3;0;252
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp7.lparse.undirected.bz2;4;0.017;0;0;0.02;0.0;9648;0;28;0;5125
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp8.lparse.undirected.bz2;2;0.003;0;0;0.0;0.0;9424;0;0;0;2
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lp9.lparse.undirected.bz2;2;0.026;0;0;0.02;0.0;9584;0;14;0;2248
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2;0.001;0;0;0.0;0.0;8352;0;0;0;2
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp1.lparse.undirected.bz2;2;0.019;0;0;0.02;0.0;9632;0;21;0;2243
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp10.lparse.undirected.bz2;2;0.023;0;0;0.02;0.0;9632;0;23;0;2167
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp2.lparse.undirected.bz2;2;0.022;0;0;0.02;0.0;9584;0;20;0;2161
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp3.lparse.undirected.bz2;2;0.018;0;0;0.02;0.0;9600;0;17;0;2242
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp4.lparse.undirected.bz2;2;0.019;0;0;0.02;0.0;9632;0;26;0;2134
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp5.lparse.undirected.bz2;2;0.022;0;0;0.02;0.0;9600;0;20;0;2231
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp6.lparse.undirected.bz2;2;0.014;0;0;0.02;0.0;9600;0;18;0;2173
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp7.lparse.undirected.bz2;2;0.011;0;0;0.01;0.0;9600;0;23;0;2114
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp8.lparse.undirected.bz2;2;0.014;0;0;0.01;0.0;9648;0;23;0;2140
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lp9.lparse.undirected.bz2;2;0.013;0;0;0.0;0.0;9600;0;24;0;2166
Clas;p;0;steiner.lparse.a1210993_20150717_0403_subgraph_tram.gml.lparse.undirected.bz2;2;0.018;0;0;0.02;0.0;9584;0;23;0;2144
Clas;p;0;steiner.lparse.agence-mtropolitaine-de-transport_20151217_1355_subgraph_train+metro+tram.gml.lp1.lparse.undirected.bz2;0;0.006;0;0;0.01;0.0;9696;0;0;0;01
Clas;p;0;steiner.lparse.agence-mtropolitaine-de-transport_20151217_1355_subgraph_train+metro+tram.gml.lp10.lparse.undirected.bz2;0;0.005;0;0;0.0;0.0;9712;0;0;0;01
