solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(PRIM);0;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.11;3.12;3.17;6.42;0.01;41280;4;166;0;0
DynASP;(PRIM);1881060079;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.11;3.05;3.10;6.29;0.0;41296;4;166;0;0
DynASP;(PRIM);2156980077;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.15;3.63;3.45;7.25;0.01;41264;4;166;0;0
DynASP;(PRIM);2460733895;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.12;3.58;3.87;7.59;0.02;41296;4;166;0;0
DynASP;(PRIM);2987179023;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.11;3.08;3.20;6.42;0.0;41280;4;166;0;0
DynASP;(PRIM);3025012838;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.11;3.85;3.66;7.64;0.02;41296;4;166;0;0
DynASP;(PRIM);3630735793;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.14;3.91;3.64;7.73;0.01;41296;4;166;0;0
DynASP;(PRIM);4176834253;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.1;3.09;3.29;6.48;0.02;41280;4;166;0;0
DynASP;(PRIM);554563280;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.1;3.14;3.16;6.43;0.0;41296;4;166;0;0
DynASP;(PRIM);600817034;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.1;3.99;3.58;7.68;0.0;41264;4;166;0;0
DynASP;(INVPRIM);0;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.14;3.02;3.22;6.4;0.0;41360;4;166;0;0
DynASP;(INVPRIM);1881060079;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.15;3.55;3.88;7.62;0.01;41360;4;166;0;0
DynASP;(INVPRIM);2156980077;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.14;3.09;3.19;6.44;0.0;41344;4;166;0;0
DynASP;(INVPRIM);2460733895;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.13;3.62;3.66;7.44;0.0;41344;4;166;0;0
DynASP;(INVPRIM);2987179023;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.13;3.09;3.19;6.43;0.0;41360;4;166;0;0
DynASP;(INVPRIM);3025012838;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.14;3.09;3.20;6.45;0.01;41360;4;166;0;0
DynASP;(INVPRIM);3630735793;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.14;3.55;3.46;7.16;0.0;41360;4;166;0;0
DynASP;(INVPRIM);4176834253;vertex_cover.lp_A00.lparse.undirected.bz2;8589934592;0.13;3.06;3.13;6.33;0.02;41360;4;166;0;0
