solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(PRIM);0;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.13;2.46;2.88;5.5;0.01;39344;4;0;0;0
DynASP;(PRIM);1881060079;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.13;2.43;2.85;5.42;0.01;39344;4;0;0;0
DynASP;(PRIM);2156980077;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.13;2.85;3.33;6.32;0.01;39344;4;0;0;0
DynASP;(PRIM);2460733895;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.12;2.40;2.84;5.39;0.0;39344;4;0;0;0
DynASP;(PRIM);2987179023;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.13;2.88;3.23;6.28;0.01;39344;4;0;0;0
DynASP;(PRIM);3025012838;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.12;2.71;3.34;6.2;0.0;39344;4;0;0;0
DynASP;(PRIM);3630735793;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.12;2.36;2.80;5.3;0.01;39344;4;0;0;0
DynASP;(PRIM);4176834253;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.12;2.34;2.85;5.33;0.0;39344;4;0;0;0
DynASP;(PRIM);554563280;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.13;2.43;2.79;5.37;0.0;39328;4;0;0;0
DynASP;(PRIM);600817034;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.13;2.91;3.17;6.24;0.0;39344;4;0;0;0
DynASP;(INVPRIM);0;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.12;3.14;3.11;6.39;0.01;39408;4;0;0;0
DynASP;(INVPRIM);1881060079;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.13;2.71;3.13;5.99;0.01;39408;4;0;0;0
DynASP;(INVPRIM);2156980077;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.11;2.39;2.82;5.35;0.0;39392;4;0;0;0
DynASP;(INVPRIM);2460733895;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.12;2.82;3.27;6.23;0.01;39408;4;0;0;0
DynASP;(INVPRIM);2987179023;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.11;2.38;2.86;5.38;0.0;39408;4;0;0;0
DynASP;(INVPRIM);3025012838;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.12;2.42;2.80;5.34;0.02;39408;4;0;0;0
DynASP;(INVPRIM);3630735793;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.13;2.82;3.27;6.25;0.0;39392;4;0;0;0
DynASP;(INVPRIM);4176834253;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.11;2.43;2.93;5.48;0.01;39408;4;0;0;0
DynASP;(INVPRIM);554563280;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.12;2.43;2.93;5.5;0.0;39408;4;0;0;0
DynASP;(INVPRIM);600817034;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.11;2.42;2.82;5.38;0.0;39408;4;0;0;0
DynASP;(INC);0;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.17;0.67;3.10;3.96;0.02;39616;4;0;0;0
DynASP;(INC);1881060079;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.17;0.64;2.68;3.51;0.0;39632;4;0;0;0
DynASP;(INC);2156980077;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.16;0.76;3.19;4.14;0.0;39616;4;0;0;0
DynASP;(INC);2460733895;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.15;0.77;3.14;4.08;0.01;39616;4;0;0;0
DynASP;(INC);2987179023;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.15;0.71;2.81;3.69;0.0;39616;4;0;0;0
DynASP;(INC);3025012838;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.15;0.64;2.73;3.55;0.0;39632;4;0;0;0
DynASP;(INC);3630735793;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.16;0.76;2.80;3.74;0.01;39632;4;0;0;0
DynASP;(INC);4176834253;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.15;0.78;2.82;3.78;0.0;39600;4;0;0;0
DynASP;(INC);554563280;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.16;0.65;2.66;3.49;0.0;39632;4;0;0;0
DynASP;(INC);600817034;vertex_cover_better.lp_A00.lparse.undirected.bz2;125680918066741326643200;0.23;0.73;2.98;3.95;0.01;39600;4;0;0;0
DynASP;(PRIM);0;vertex_cover_better.lp_A02.lparse.undirected.bz2;36;0.06;0.05;0.04;0.15;0.0;19344;7;0;0;0
DynASP;(PRIM);1881060079;vertex_cover_better.lp_A02.lparse.undirected.bz2;36;0.08;0.04;0.05;0.18;0.0;19280;7;0;0;0
DynASP;(PRIM);2156980077;vertex_cover_better.lp_A02.lparse.undirected.bz2;36;0.12;0.04;0.05;0.22;0.0;20816;7;0;0;0
DynASP;(PRIM);2460733895;vertex_cover_better.lp_A02.lparse.undirected.bz2;36;0.06;0.04;0.04;0.15;0.0;19264;7;0;0;0
